id,type,label,lat,lon,degree,betweenness
outlet:urbanacres.in,Outlet,urbanacres.in,,,1,0.0
commodity:turtles-live,Commodity,Turtles & tortoises – live,,,1,0.0
case:b07f77933901,Case,Seizure · Leopard · Jeypore,,,5,0.02347
location:jeypore,Location,Jeypore,18.8563,82.5716,2,0.00168
case:d36338c0ca13,Case,Seizure · Leopard · Gujarat,,,5,0.02544
case:ff8a975b26a9,Case,Seizure · Primates · Balasore,,,29,0.31919
location:balasore,Location,Balasore,21.4927,86.9335,2,0.00676
agency:coast_guard,Agency,Coast Guard,,,1,0.0
agency:stf,Agency,STF,,,1,0.0
agency:wccb,Agency,WCCB,,,1,0.0
outlet:telegraph_india,Outlet,Telegraph India,,,1,0.0
outlet:etv_bharat,Outlet,ETV Bharat,,,1,0.0
outlet:ians_live,Outlet,IANS LIVE,,,1,0.0
outlet:dw.com,Outlet,dw.com,,,1,0.0
outlet:devdiscourse,Outlet,Devdiscourse,,,1,0.0
outlet:down_to_earth,Outlet,Down To Earth,,,1,0.0
outlet:india_today,Outlet,India Today,,,1,0.0
outlet:moneycontrol.com,Outlet,Moneycontrol.com,,,2,0.00644
outlet:ani_news,Outlet,ANI News,,,1,0.0
outlet:global_news,Outlet,Global News,,,1,0.0
outlet:ndtv,Outlet,NDTV,,,1,0.0
outlet:odisha_reporter,Outlet,Odisha Reporter,,,1,0.0
outlet:kalinga_tv,Outlet,Kalinga TV,,,1,0.0
outlet:deccan_chronicle,Outlet,Deccan Chronicle,,,4,0.07338
outlet:free_press_journal,Outlet,Free Press Journal,,,2,0.00568
outlet:adda247,Outlet,Adda247,,,1,0.0
case:f568f8352fa5,Case,Arrest · Elephant (ivory) · location unknown,,,3,0.01597
outlet:wansom_ai,Outlet,Wansom AI,,,1,0.0
outlet:malawi24,Outlet,Malawi24,,,1,0.0
case:6e8a8d6ee24d,Case,Arrest · Elephant (ivory) · Idukki,,,3,0.02387
location:idukki,Location,Idukki,9.85,76.9667,2,0.008
location:kerala,Location,Kerala,,,1,0.0
outlet:onmanorama,Outlet,Onmanorama,,,1,0.0
case:b996481570b9,Case,Arrest · Tokay gecko · 12 geckos · Sonitpur,,,5,0.01948
location:sonitpur,Location,Sonitpur,26.7675,92.9643,2,0.00328
case:52fd05f92132,Case,Arrest · Tiger · Shahdol,,,3,0.01901
location:shahdol,Location,Shahdol,23.2936,81.3619,2,0.008
location:madhya_pradesh,Location,Madhya Pradesh,,,1,0.0
case:72f9ebe1dce2,Case,Seizure · Red sanders · 20 logs · Nellore,,,7,0.05605
species:red_sanders,Species,Red sanders,,,2,0.0005
location:nellore,Location,Nellore,14.44,79.99,2,0.0054
location:andhra_pradesh,Location,Andhra Pradesh,,,2,0.00025
commodity:red_sanders-logs,Commodity,Red sanders – logs,,,1,0.0
case:de9db9b69f27,Case,Arrest · Parakeets & songbirds · location unknown,,,2,0.03936
outlet:dainik_bhaskar,Outlet,Dainik Bhaskar,,,4,0.07204
case:6606391d9176,Case,Seizure · Musk deer · location unknown,,,2,0.008
species:musk_deer,Species,Musk deer,,,1,0.0
case:cd474874ff08,Case,Arrest · Pangolin · India,,,3,0.02148
location:india,Location,India,22.35,78.67,4,0.00131
case:bf71bd177f4d,Case,Arrest · Elephant (ivory) · location unknown,,,4,0.05062
agency:traffic,Agency,TRAFFIC,,,1,0.0
outlet:the_citizen,Outlet,The Citizen,,,1,0.0
case:5c160960fe73,Case,Arrest · Turtles & tortoises · location unknown,,,2,0.00534
case:c69b0c6e888d,Case,Arrest · Turtles & tortoises · location unknown,,,4,0.04096
case:cefa28ce1540,Case,Arrest · Pangolin · location unknown,,,2,0.008
outlet:novanews.co.za,Outlet,novanews.co.za,,,1,0.0
case:9c9ea761d806,Case,Arrest · Leopard · location unknown,,,2,0.00527
case:fa905202ee09,Case,Arrest · Monitor lizard · Pudukkottai,,,4,0.04827
location:pudukkottai,Location,Pudukkottai,10.3813,78.8214,2,0.00307
outlet:deccanchronicle.com,Outlet,deccanchronicle.com,,,1,0.0
case:b6c4079f759c,Case,Arrest · Pangolin · South Africa,,,5,0.03181
location:south_africa,Location,South Africa,-30.56,22.94,1,0.0
outlet:the_south_african,Outlet,The South African,,,1,0.0
outlet:briefly_news,Outlet,Briefly News,,,1,0.0
outlet:african_insider,Outlet,African Insider,,,1,0.0
case:d2b5a415883b,Case,Seizure · Pangolin · Kānker,,,3,0.08259
location:kānker,Location,Kānker,20.2719,81.4918,2,0.0152
location:chhattisgarh,Location,Chhattisgarh,,,3,0.03117
case:694398508595,Case,Arrest · Tiger · Chhattisgarh,,,6,0.05107
agency:cbi,Agency,CBI,,,1,0.0
outlet:freepressjournal.in,Outlet,freepressjournal.in,,,1,0.0
case:0097982baf54,Case,Seizure · Pangolin · Hanūr,,,3,0.01662
location:hanūr,Location,Hanūr,12.0874,77.3021,2,0.0022
case:8349ac620b23,Case,Arrest · Red sanders · Tirupati,,,3,0.01321
location:tirupati,Location,Tirupati,13.63,79.42,2,0.00279
