date,disease,pathway,countries,who_report_url
2021-10-01,Plague,wildlife,MG,https://www.who.int/emergencies/disease-outbreak-news/item/plague---madagascar
2021-09-24,Nipah virus,wildlife,IN,https://www.who.int/emergencies/disease-outbreak-news/item/nipah-virus-disease---india
2021-09-17,Marburg virus disease,wildlife,GN,https://www.who.int/emergencies/disease-outbreak-news/item/marburg-virus-disease---guinea
2021-08-17,MERS,livestock,SA,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON333
2021-08-16,Avian influenza,birds,IN,https://www.who.int/emergencies/disease-outbreak-news/item/human-infection-with-avian-influenza-a(h5n1)-ｰ-india
2021-08-09,Marburg virus disease,wildlife,GN,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON331
2021-07-27,Mpox,wildlife,US,https://www.who.int/emergencies/disease-outbreak-news/item/monkeypox---the-united-states-of-america
2021-07-08,Mpox,wildlife,GB IE,https://www.who.int/emergencies/disease-outbreak-news/item/monkeypox---united-kingdom-of-great-britain-and-northern-ireland
2021-07-03,Mpox,wildlife,SG,https://www.who.int/emergencies/disease-outbreak-news/item/16-may-2019-monkeypox-singapore-en
2021-06-19,Ebola and Sudan virus disease,wildlife,GN,https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON328
2021-06-11,Mpox,wildlife,GB IE NG,https://www.who.int/emergencies/disease-outbreak-news/item/monkeypox---united-kingdom-of-great-britain-and-northern-ireland-ex-nigeria
2021-06-10,Avian influenza,birds,CN,https://www.who.int/emergencies/disease-outbreak-news/item/human-infection-with-avian-influenza-a(h10n3)-china
2021-06-08,Ebola and Sudan virus disease,wildlife,CI LR,https://www.who.int/emergencies/disease-outbreak-news/item/1996_01_22c-en
2021-06-08,Yellow fever,vector,LR,https://www.who.int/emergencies/disease-outbreak-news/item/1996_02_02-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_02_19b-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_02_29b-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_03_01c-en
2021-06-08,Ebola and Sudan virus disease,wildlife,,https://www.who.int/emergencies/disease-outbreak-news/item/1996_04_17-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_04_26b-en
2021-06-08,Ebola and Sudan virus disease,wildlife,PH,https://www.who.int/emergencies/disease-outbreak-news/item/1996_04_30-en
2021-06-08,Lassa fever,wildlife,SL,https://www.who.int/emergencies/disease-outbreak-news/item/1996_05_15-en
2021-06-08,Lassa fever,wildlife,SL,https://www.who.int/emergencies/disease-outbreak-news/item/1996_05_28-en
2021-06-08,Lassa fever,wildlife,SL,https://www.who.int/emergencies/disease-outbreak-news/item/1996_06_14a-en
2021-06-08,Lassa fever,wildlife,SL,https://www.who.int/emergencies/disease-outbreak-news/item/1996_07_30a-en
2021-06-08,Yellow fever,vector,BJ,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_02-en
2021-06-08,Japanese encephalitis,vector,NP,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_04-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_14-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_15b-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_18-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_21-en
2021-06-08,Yellow fever,vector,,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_31b-en
2021-06-08,Yellow fever,vector,BJ,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_01-en
2021-06-08,Crimean-Congo haemorrhagic fever,livestock,CG ZA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_05-en
2021-06-08,Ebola and Sudan virus disease,wildlife,GA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_12a-en
2021-06-08,Ebola and Sudan virus disease,wildlife,ZA,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_18-en
