species_group,origin,exporter,importer,seized_shipments
pythons_reptiles,ID,ES,US,5
pythons_reptiles,CA,CA,US,5
primates,KR,KR,US,5
cycads,ZA,NZ,ZA,5
primates,XX,CN,GB,5
cacti_succulents,XX,HK,US,5
hornbill,ID,ID,US,5
pythons_reptiles,NA,IT,US,5
pythons_reptiles,PH,PH,US,5
rosewood,XX,US,SN,5
primates,MU,DE,US,5
musk_deer,CN,CA,US,5
sea_fan,NG,NG,US,5
medicinal_plants,IN,IN,US,5
sea_fan,JM,JM,US,5
sea_fan,BR,BR,US,5
monitor_lizard,ID,ES,US,5
rosewood,IN,IN,IT,5
sea_fan,CA,CA,US,5
birds,CU,CU,US,5
pythons_reptiles,TG,TG,US,5
pythons_reptiles,HK,HK,US,5
pangolin,MX,MX,US,5
leopard,NA,NA,US,5
tiger,DE,US,NL,5
pythons_reptiles,FR,FR,US,5
elephant,XX,US,BE,5
pangolin,XX,SG,CN,5
elephant,LA,LA,US,5
primates,CN,FR,US,5
jaguar,BR,BR,US,5
tiger,MX,MX,US,5
pythons_reptiles,US,MX,US,5
pythons_reptiles,CU,CU,US,5
shark_ray,XX,VE,US,5
sea_fan,TW,CH,US,5
cheetah,SO,SO,NA,5
leopard,SO,SO,NA,5
cheetah,XX,BH,AE,5
shark_ray,HS,TW,US,5
sea_fan,VG,VG,US,5
primates,KH,CA,US,5
primates,BH,BH,AE,5
jaguar,XX,PE,US,5
shark_ray,VE,US,TZ,5
shark_ray,VE,TZ,US,5
shark_ray,XX,US,BR,5
shark_ray,XX,US,LK,5
sea_fan,AU,CA,US,4
birds,US,US,TW,4
agarwood,XX,ID,US,4
birds,XX,BR,US,4
pythons_reptiles,SG,IT,US,4
pythons_reptiles,TH,FR,US,4
sea_fan,TO,HK,US,4
orchids,JM,JM,US,4
bear,LA,LA,US,4
shark_ray,HN,HN,US,4
elephant,XX,US,CA,4
elephant,ZW,ZA,US,4
elephant,XX,XX,US,4
primates,VN,CA,US,4
primates,FR,FR,US,4
pangolin,CM,CM,US,4
carnivorous_plants,TH,TH,US,4
medicinal_plants,US,US,GB,4
leopard,XX,HK,US,4
orchids,DE,DE,US,4
sea_fan,XX,US,CH,4
pythons_reptiles,XX,KH,US,4
pythons_reptiles,XX,US,BH,4
pythons_reptiles,XX,GR,US,4
bear,XX,KR,US,4
monitor_lizard,XX,CA,US,4
birds,XX,DE,US,4
sea_fan,XX,GB,US,4
birds,US,US,TT,4
cacti_succulents,DO,DO,US,4
pythons_reptiles,XX,ZA,US,4
shark_ray,MY,MY,US,4
shark_ray,CR,CR,US,4
elephant,ZW,IT,US,4
elephant,ZA,MX,US,4
musk_deer,KR,KR,US,4
leopard,NG,NG,US,4
tiger,KH,KH,US,4
pythons_reptiles,XX,KE,US,4
sea_fan,HK,HK,US,4
shark_ray,ID,ID,US,4
sea_fan,VN,VN,GB,4
rosewood,IN,IN,CZ,4
pangolin,ZA,ZA,TZ,4
pythons_reptiles,XX,DE,CH,4
birds,GY,GY,US,4
owl,ZA,ZA,US,4
shark_ray,IN,IN,US,4
pythons_reptiles,CO,CO,US,4
pythons_reptiles,XX,TW,US,4
pythons_reptiles,ZA,ES,US,4
pythons_reptiles,ML,ML,US,4
rosewood,XX,PK,US,4
shark_ray,XX,SG,US,4
shark_ray,JP,JP,US,4
